序号,名称,申报类别,出版单位,运营单位,文号,出版物号,时间
181,起源战纪,移动,成都盈众九州网络科技有限公司,深圳印象互娱网络科技有限公司,国新出审[2021]624号,ISBN 978-7-498-08991-5,2021年3月19日
182,方寸对决,移动,深圳中青宝互动网络股份有限公司,北京好乐游网络科技有限公司,国新出审[2021]623号,ISBN 978-7-498-08990-8,2021年3月19日
183,一起当勇士,移动,辽宁电子出版社有限责任公司,上海连娱网络科技有限公司,国新出审[2021]622号,ISBN 978-7-498-08989-2,2021年3月19日
184,魔之序曲,移动,黑龙江龙华数字出版股份有限公司,厦门西岐网络股份有限公司,国新出审[2021]621号,ISBN 978-7-498-08988-5,2021年3月19日
185,幻灵师,移动,四川数字出版传媒有限公司,成都启乐科技有限公司,国新出审[2021]620号,ISBN 978-7-498-08986-1,2021年3月19日
186,零域战线,移动,上海科学技术文献出版社有限公司,上海麦卓网络科技有限公司,国新出审[2021]619号,ISBN 978-7-498-08984-7,2021年3月19日
187,咪莫,移动,三辰影库音像出版社有限公司,北京震宇翱翔文化创意有限公司,国新出审[2021]618号,ISBN 978-7-498-08982-3,2021年3月19日
188,军团战棋英雄时代,移动,华东师范大学电子音像出版社有限公司,上海领音文化传播有限公司,国新出审[2021]617号,ISBN 978-7-498-08981-6,2021年3月19日
189,临界存在少女,移动,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,国新出审[2021]616号,ISBN 978-7-498-08979-3,2021年3月19日
190,猛宠派对,客户端,天津电子出版社有限公司,北京隽游网络科技有限公司,国新出审[2021]615号,ISBN 978-7-498-08977-9,2021年3月19日
191,绝对演绎,移动,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,国新出审[2021]614号,ISBN 978-7-498-08975-5,2021年3月19日
192,宝石研物语：伊恩之石,移动,黑龙江龙华数字出版股份有限公司,上海花度网络科技有限公司,国新出审[2021]613号,ISBN 978-7-498-08974-8,2021年3月19日
193,女神联盟：契约,移动,上海声像电子出版社,上海冰与火网络科技有限公司,国新出审[2021]612号,ISBN 978-7-498-08972-4,2021年3月19日
194,黎明与守护,移动,宁波东海岸电子音像出版社有限公司,雷神互娱（天津）科技有限公司,国新出审[2021]611号,ISBN 978-7-498-08970-0,2021年3月19日
195,边境2109,移动,成都超级梦网络技术股份有限公司,成都冰熊网络科技有限责任公司,国新出审[2021]610号,ISBN 978-7-498-08968-7,2021年3月19日
196,破碎方舟,移动,杭州群游科技有限公司,安徽星战信息科技有限公司,国新出审[2021]609号,ISBN 978-7-498-08966-3,2021年3月19日
197,碎片剑术学院,移动,北京科海电子出版社,北京新阳互动网络科技有限公司,国新出审[2021]608号,ISBN 978-7-498-08965-6,2021年3月19日
198,锦绣山河,移动,海南省电子音像出版社有限公司,海南千纸鹤网络科技有限公司,国新出审[2021]607号,ISBN 978-7-498-08964-9,2021年3月19日
199,随机点数大师,移动,江苏凤凰电子音像出版社有限公司,南京麻友网络科技有限公司,国新出审[2021]606号,ISBN 978-7-498-08963-2,2021年3月19日
200,要塞远征,移动,北京联合出版有限责任公司,北京闻和网络科技有限公司,国新出审[2021]605号,ISBN 978-7-498-08961-8,2021年3月19日
201,盛唐烟雨,移动,上海电子出版有限公司,上海爱的甜栗科技有限公司,国新出审[2021]604号,ISBN 978-7-498-08960-1,2021年3月19日
202,征战纪元,移动,上海科学技术文献出版社有限公司,北京慕远科技有限公司,国新出审[2021]603号,ISBN 978-7-498-08958-8,2021年3月19日
203,刃心2,移动,厦门雷霆互动网络有限公司,厦门青瓷文化传播有限公司,国新出审[2021]602号,ISBN 978-7-498-08956-4,2021年3月19日
204,旭日之城,移动,北京科海电子出版社,北京壳木软件有限责任公司,国新出审[2021]601号,ISBN 978-7-498-08955-7,2021年3月19日
205,梵花录,移动,方圆电子音像出版社有限责任公司,北京妙动时光文化传媒有限公司,国新出审[2021]600号,ISBN 978-7-498-08954-0,2021年3月19日
206,山海小镇,移动,辽宁电子出版社有限责任公司,南京皮卡豆信息技术有限公司,国新出审[2021]599号,ISBN 978-7-498-08953-3,2021年3月19日
207,弹射王2,移动,宁波东海岸电子音像出版社有限公司,广州市蓝色动力数码科技有限公司,国新出审[2021]598号,ISBN 978-7-498-08951-9,2021年3月19日
208,遇见龙,移动,黑龙江龙华数字出版股份有限公司,天津英雄互娱科技有限公司,国新出审[2021]597号,ISBN 978-7-498-08950-2,2021年3月19日
209,弹幕枪王,移动,浙江出版集团数字传媒有限公司,奇游天地（深圳）科技有限公司,国新出审[2021]596号,ISBN 978-7-498-08948-9,2021年3月19日
210,胡莱三国4,移动,互爱互动（北京）科技有限公司,互爱（北京）科技股份有限公司,国新出审[2021]595号,ISBN 978-7-498-08946-5,2021年3月19日
211,天道模拟器,移动,华中科技大学电子音像出版社,武汉择天文化传媒有限公司,国新出审[2021]594号,ISBN 978-7-498-08944-1,2021年3月19日
212,无境战地口袋版,移动,福建网龙计算机网络信息技术有限公司,福建省天晴互动娱乐有限公司,国新出审[2021]593号,ISBN 978-7-498-08942-7,2021年3月19日
213,管道梦工厂,移动-休闲益智,天津电子出版社有限公司,武汉市多比特信息科技有限公司,国新出审[2021]592号,ISBN 978-7-498-08940-3,2021年3月19日
214,加菲猫梦想生活,移动-休闲益智,方圆电子音像出版社有限责任公司,河北触乐信息科技有限公司,国新出审[2021]591号,ISBN 978-7-498-08994-6,2021年3月19日
215,全民军棋大战,移动-休闲益智,杭州边锋网络技术有限公司,杭州边锋网络技术有限公司,国新出审[2021]590号,ISBN 978-7-498-08934-2,2021年3月19日
216,快乐方块屋,移动-休闲益智,天津电子出版社有限公司,武汉汇多互动信息技术有限公司,国新出审[2021]589号,ISBN 978-7-498-08932-8,2021年3月19日
217,小飞机大冒险,移动-休闲益智,广州盈正信息技术有限公司,杭州呆喵网络科技有限公司,国新出审[2021]588号,ISBN 978-7-498-08930-4,2021年3月19日
218,家园改造计划,移动-休闲益智,杭州边锋网络技术有限公司,苏州尚游网络科技有限公司,国新出审[2021]587号,ISBN 978-7-498-08928-1,2021年3月19日
219,抓鸡大师,移动-休闲益智,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,国新出审[2021]586号,ISBN 978-7-498-08925-0,2021年3月19日
220,功夫毽子,移动-休闲益智,杭州群游科技有限公司,微格瑞（北京）网络科技有限公司,国新出审[2021]585号,ISBN 978-7-498-08923-6,2021年3月19日
221,萌萌大作战,移动-休闲益智,湖北省扬子江影音有限责任公司,武汉玩伴网络科技有限公司,国新出审[2021]584号,ISBN 978-7-498-08921-2,2021年3月19日
222,萌宠跑得快,移动-休闲益智,杭州润趣科技有限公司,南阳新创元软件有限公司,国新出审[2021]583号,ISBN 978-7-498-08919-9,2021年3月19日
223,非常地鼠,移动-休闲益智,宁波东海岸电子音像出版社有限公司,重庆远天科技有限公司,国新出审[2021]582号,ISBN 978-7-498-08917-5,2021年3月19日
224,元气蛋蛋王,移动-休闲益智,华中科技大学电子音像出版社,深圳霍斯科技有限公司,国新出审[2021]581号,ISBN 978-7-498-08916-8,2021年3月19日
225,火柴人封锁突围,移动-休闲益智,杭州哲信信息技术有限公司,杭州流冠科技有限公司,国新出审[2021]580号,ISBN 978-7-498-08962-5,2021年3月19日
226,王国守卫,移动-休闲益智,浙江出版集团数字传媒有限公司,杭州西米科技有限公司,国新出审[2021]579号,ISBN 978-7-498-08959-5,2021年3月19日
227,细胞成长日记,移动-休闲益智,杭州润趣科技有限公司,浙江盛和网络科技有限公司,国新出审[2021]578号,ISBN 978-7-498-08957-1,2021年3月19日
228,欢乐球球跳一跳,移动-休闲益智,黑龙江科学技术出版社有限公司,北京古鲁营销顾问有限公司,国新出审[2021]577号,ISBN 978-7-498-08952-6,2021年3月19日
229,飞奔达人,移动-休闲益智,杭州烈焰网络技术有限公司,江苏永炬星信息科技有限公司,国新出审[2021]576号,ISBN 978-7-498-08949-6,2021年3月19日
230,一画到底,移动-休闲益智,上海科学技术文献出版社有限公司,上海仙豆网络信息科技有限责任公司,国新出审[2021]575号,ISBN 978-7-498-08947-2,2021年3月19日
231,跃动小子,移动-休闲益智,杭州紫府网络科技有限公司,大丰黑贝信息技术有限公司,国新出审[2021]574号,ISBN 978-7-498-08945-8,2021年3月19日
232,归途大作战,移动-休闲益智,广州盈正信息技术有限公司,上海浪险劲网络科技有限公司,国新出审[2021]573号,ISBN 978-7-498-08943-4,2021年3月19日
233,成语状元榜,移动-休闲益智,吉林音像出版社有限责任公司,广州小迈网络科技有限公司,国新出审[2021]572号,ISBN 978-7-498-08941-0,2021年3月19日
234,消失的羽衣,移动-休闲益智,黑龙江科学技术出版社有限公司,海南西瓜互娱网络科技有限公司,国新出审[2021]571号,ISBN 978-7-498-08939-7,2021年3月19日
235,花花填色,移动-休闲益智,江苏凤凰电子音像出版社有限公司,西安点扣软件科技有限公司,国新出审[2021]570号,ISBN 978-7-498-08938-0,2021年3月19日
236,漂移达人,移动-休闲益智,海南省电子音像出版社有限公司,海南幸福传承文化传播有限公司,国新出审[2021]569号,ISBN 978-7-498-08937-3,2021年3月19日
237,细胞出击,移动-休闲益智,杭州乐港科技有限公司,宿州手游互联信息技术有限公司,国新出审[2021]568号,ISBN 978-7-498-08936-6,2021年3月19日
238,迷宫法则,移动-休闲益智,浙江出版集团数字传媒有限公司,绍兴上虞酷游网络科技有限公司,国新出审[2021]567号,ISBN 978-7-498-08935-9,2021年3月19日
239,钓鱼传奇,移动-休闲益智,成都盈众九州网络科技有限公司,成都九方互动信息技术有限公司,国新出审[2021]566号,ISBN 978-7-498-08933-5,2021年3月19日
240,萌炮争霸,移动-休闲益智,广州盈正信息技术有限公司,火烈鸟网络(广州)股份有限公司,国新出审[2021]565号,ISBN 978-7-498-08931-1,2021年3月19日
241,人人爱投篮,移动-休闲益智,咪咕互动娱乐有限公司,南京原极信息科技有限公司,国新出审[2021]564号,ISBN 978-7-498-08929-8,2021年3月19日
242,围棋小子,移动-休闲益智,上海晨路信息科技股份有限公司,上海韧玩网络科技有限公司,国新出审[2021]563号,ISBN 978-7-498-08927-4,2021年3月19日
243,荒野大英雄,移动-休闲益智,上海易娱网络科技有限公司,上海易娱网络科技有限公司,国新出审[2021]562号,ISBN 978-7-498-08926-7,2021年3月19日
244,新俄罗斯方块,移动-休闲益智,四川数字出版传媒有限公司,绵阳智如科技有限责任公司,国新出审[2021]561号,ISBN 978-7-498-08924-3,2021年3月19日
245,动物联盟大探索,移动-休闲益智,浙江文艺音像出版社有限公司,北京掌上易游科技有限公司,国新出审[2021]560号,ISBN 978-7-498-08922-9,2021年3月19日
246,华容道天天玩,移动-休闲益智,杭州边锋网络技术有限公司,杭州边浙网络技术有限公司,国新出审[2021]559号,ISBN 978-7-498-08920-5,2021年3月19日
247,我的小花仙,移动-休闲益智,湖北省扬子江影音有限责任公司,成都雷兽互动科技有限公司,国新出审[2021]558号,ISBN 978-7-498-08918-2,2021年3月19日
248,闪电冲线,移动-休闲益智,杭州紫府网络科技有限公司,北京赛诺斯科技发展有限责任公司,国新出审[2021]557号,ISBN 978-7-498-08915-1,2021年3月19日
249,勇士与旅途,移动,海南省电子音像出版社有限公司,海南自贸区椰云网络科技有限公司,国新出审[2021]474号,ISBN 978-7-498-08913-7,2021年3月4日
250,探险奇幻记,移动,上海电子出版有限公司,广州卓乐网络科技有限公司,国新出审[2021]473号,ISBN 978-7-498-08912-0,2021年3月4日
251,命运战争,移动,上海科学技术文献出版社有限公司,上海常游网络科技有限公司,国新出审[2021]472号,ISBN 978-7-498-08911-3,2021年3月4日
252,动物江湖,移动,深圳中青宝互动网络股份有限公司,深圳市探娱互动科学文化有限公司,国新出审[2021]471号,ISBN 978-7-498-08909-0,2021年3月4日
253,原始征途,移动,上海巨人网络科技有限公司,巨人移动科技有限公司,国新出审[2021]470号,ISBN 978-7-498-08908-3,2021年3月4日
254,山海诛妖记,移动,黑龙江科学技术出版社有限公司,北京逸通互联网信息服务有限公司,国新出审[2021]469号,ISBN 978-7-498-08907-6,2021年3月4日
255,军团,移动,厦门雷霆互动网络有限公司,深圳雷霆信息技术有限公司,国新出审[2021]468号,ISBN 978-7-498-08906-9,2021年3月4日
256,火柴人功夫大战,移动,咪咕互动娱乐有限公司,南京原极信息科技有限公司,国新出审[2021]467号,ISBN 978-7-498-08905-2,2021年3月4日
257,异界之上,客户端,宁波东海岸电子音像出版社有限公司,上海隐心网络科技有限公司,国新出审[2021]466号,ISBN 978-7-498-08904-5,2021年3月4日
258,怪咖英雄,移动,广东趣炫网络股份有限公司,广东趣炫网络股份有限公司,国新出审[2021]465号,ISBN 978-7-498-08903-8,2021年3月4日
259,拣爱,移动,深圳中青宝互动网络股份有限公司,深圳时代首游互动科技有限公司,国新出审[2021]464号,ISBN 978-7-498-08910-6,2021年3月4日
260,小小无双,移动,上海科学技术文献出版社有限公司,上海盛维网络科技有限公司,国新出审[2021]463号,ISBN 978-7-498-08902-1,2021年3月4日
261,如意芳霏,移动,上海电子出版有限公司,上海交叉点信息科技有限公司,国新出审[2021]462号,ISBN 978-7-498-08901-4,2021年3月4日
262,飓风三国,移动,杭州润趣科技有限公司,杭州飓风游戏科技有限公司,国新出审[2021]461号,ISBN 978-7-498-08900-7,2021年3月4日
263,星轨之上,移动,宁波东海岸电子音像出版社有限公司,广州梦映动漫网络科技有限公司,国新出审[2021]460号,ISBN 978-7-498-08899-4,2021年3月4日
264,双生幻想,移动,上海方寸信息科技有限公司,上海异境信息科技有限公司,国新出审[2021]459号,ISBN 978-7-498-08898-7,2021年3月4日
265,心动之恋物语,移动,广州谷得网络科技有限公司,广州汉正信息技术有限公司,国新出审[2021]458号,ISBN 978-7-498-08897-0,2021年3月4日
266,符石守护者,移动,华东师范大学电子音像出版社有限公司,上海领音文化传播有限公司,国新出审[2021]457号,ISBN 978-7-498-08896-3,2021年3月4日
267,王牌播主,移动,四三九九网络股份有限公司,四三九九网络股份有限公司,国新出审[2021]456号,ISBN 978-7-498-08895-6,2021年3月4日
268,织言辨语,移动,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,国新出审[2021]455号,ISBN 978-7-498-08894-9,2021年3月4日
269,潮人篮球2,移动,互爱互动（北京）科技有限公司,互爱互动（北京）科技有限公司,国新出审[2021]454号,ISBN 978-7-498-08893-2,2021年3月4日
270,全民学霸,移动,成都龙渊网络科技有限公司,上海咕么信息科技有限公司,国新出审[2021]453号,ISBN 978-7-498-08892-5,2021年3月4日
271,影之刃零,移动,方圆电子音像出版社有限责任公司,北京灵游坊网络科技有限公司,国新出审[2021]452号,ISBN 978-7-498-08891-8,2021年3月4日
272,赛博幻想,移动,成都哆可梦网络科技有限公司,成都哆可梦网络科技有限公司,国新出审[2021]451号,ISBN 978-7-498-08890-1,2021年3月4日
273,大闹天宫之猴王归来,移动,咪咕互动娱乐有限公司,咪咕互动娱乐有限公司,国新出审[2021]450号,ISBN 978-7-498-08889-5,2021年3月4日
274,魔王与征服,移动,上海电子出版有限公司,上海娱公竞宇网络有限公司,国新出审[2021]449号,ISBN 978-7-498-08888-8,2021年3月4日
275,黎明精英,移动,深圳中青宝互动网络股份有限公司,无锡基德网络科技有限公司,国新出审[2021]448号,ISBN 978-7-498-08887-1,2021年3月4日
276,长安幻想,移动,华东师范大学电子音像出版社有限公司,广州诗悦网络科技有限公司,国新出审[2021]447号,ISBN 978-7-498-08885-7,2021年3月4日
277,山海浮梦录,移动,浙江出版集团数字传媒有限公司,浙江盛和网络科技有限公司,国新出审[2021]446号,ISBN 978-7-498-08883-3,2021年3月4日
278,龙套英雄,客户端,心动网络股份有限公司,心动网络股份有限公司,国新出审[2021]445号,ISBN 978-7-498-08881-9,2021年3月4日
279,天境传说,移动,深圳冰川网络股份有限公司,深圳千阳网络技术有限公司,国新出审[2021]444号,ISBN 978-7-498-08878-9,2021年3月4日
280,梦溪画坊,客户端,方圆电子音像出版社有限责任公司,成都赤橙数字娱乐有限公司,国新出审[2021]443号,ISBN 978-7-498-08876-5,2021年3月4日
281,蓝空幻想,移动,成都盈众九州网络科技有限公司,广州市溢熙信息科技有限公司,国新出审[2021]442号,ISBN 978-7-498-08867-3,2021年3月4日
282,超星崛起,移动,合肥乐堂动漫信息技术有限公司,苏州仙峰网络科技股份有限公司,国新出审[2021]441号,ISBN 978-7-498-08865-9,2021年3月4日
283,龙域世界,网页,杭州紫府网络科技有限公司,上海黑桃互动网络科技股份有限公司,国新出审[2021]440号,ISBN 978-7-498-08864-2,2021年3月4日
284,我要当掌门,移动,山东科学技术出版社有限公司,成都雨神电竞科技股份有限公司,国新出审[2021]439号,ISBN 978-7-498-08862-8,2021年3月4日
285,镇灵物语,移动,杭州紫府网络科技有限公司,宁波舒游网络科技有限公司,国新出审[2021]438号,ISBN 978-7-498-08861-1,2021年3月4日
286,足球决,移动,上海科学技术文献出版社有限公司,上海时年信息科技有限公司,国新出审[2021]437号,ISBN 978-7-498-08859-8,2021年3月4日
287,流沙之城,移动,杭州群游科技有限公司,杭州游尘信息技术有限公司,国新出审[2021]436号,ISBN 978-7-498-08857-4,2021年3月4日
288,召唤师纷争,移动,厦门雷霆互动网络有限公司,厦门市畅想家网络科技有限公司,国新出审[2021]435号,ISBN 978-7-498-08856-7,2021年3月4日
289,天上白玉京,移动,辽宁电子出版社有限责任公司,沈阳星空互娱网络科技有限公司,国新出审[2021]434号,ISBN 978-7-498-08854-3,2021年3月4日
290,火源战纪,移动,广东海燕电子音像出版社有限公司,广州大蓝网络科技有限公司,国新出审[2021]433号,ISBN 978-7-498-08852-9,2021年3月4日
291,寻龙英雄,移动,上海游族信息技术有限公司,上海游族信息技术有限公司,国新出审[2021]432号,ISBN 978-7-498-08850-5,2021年3月4日
292,天黑装备铺,移动,合肥乐堂动漫信息技术有限公司,长沙掌控信息科技有限公司,国新出审[2021]431号,ISBN 978-7-498-08848-2,2021年3月4日
293,爸爸，活下去,移动,华东师范大学电子音像出版社有限公司,上海浪险劲网络科技有限公司,国新出审[2021]430号,ISBN 978-7-498-08846-8,2021年3月4日
294,地下城与王国,移动,上海众源网络有限公司,上海众源网络有限公司,国新出审[2021]429号,ISBN 978-7-498-08843-7,2021年3月4日
295,以仙之名,移动,华中科技大学电子音像出版社,上海小牛互娱智能科技有限公司,国新出审[2021]428号,ISBN 978-7-498-08841-3,2021年3月4日
296,斗罗大陆：魂师对决,移动,成都盈众九州网络科技有限公司,上海玄霆娱乐信息科技有限公司,国新出审[2021]427号,ISBN 978-7-498-08839-0,2021年3月4日
297,我快递送得超快,移动,三辰影库音像出版社有限公司,游点好玩（北京）科技有限公司,国新出审[2021]426号,ISBN 978-7-498-08837-6,2021年3月4日
298,曙光重临,移动,广州四三九九信息科技有限公司,广州四三九九信息科技有限公司,国新出审[2021]425号,ISBN 978-7-498-08835-2,2021年3月4日
299,太初行,移动,北京冠游时空数码技术有限公司,北京蓝鲸时代科技有限公司,国新出审[2021]424号,ISBN 978-7-498-08833-8,2021年3月4日
300,凯姆大冒险,移动,华中科技大学电子音像出版社,北京速信达科技有限公司,国新出审[2021]423号,ISBN 978-7-498-08914-4,2021年3月4日
301,独奏骑士,移动,四川数字出版传媒有限公司,深圳云步互娱网络科技有限公司,国新出审[2021]422号,ISBN 978-7-498-08832-1,2021年3月4日
302,斗诡,移动,厦门游力信息科技有限公司,厦门游力信息科技有限公司,国新出审[2021]421号,ISBN 978-7-498-08831-4,2021年3月4日
303,灵历十八年,移动,方圆电子音像出版社有限责任公司,天津幻趣科技有限公司,国新出审[2021]420号,ISBN 978-7-498-08830-7,2021年3月4日
304,豪车大亨,移动-休闲益智,湖北省扬子江影音有限责任公司,海南团玩科技有限公司,国新出审[2021]419号,ISBN 978-7-498-08886-4,2021年3月4日
305,美食大乱斗,移动-休闲益智,杭州群游科技有限公司,北京运旺时盛科技有限公司,国新出审[2021]418号,ISBN 978-7-498-08884-0,2021年3月4日
306,最强找茬,移动-休闲益智,宁波东海岸电子音像出版社有限公司公司,深圳市来玩科技有限公司,国新出审[2021]417号,ISBN 978-7-498-08882-6,2021年3月4日
307,狂热酷跑,移动-休闲益智,杭州哲信信息技术有限公司,南京翰达睿信息技术有限公司,国新出审[2021]416号,ISBN 978-7-498-08880-2,2021年3月4日
308,怪兽大爆炸,移动-休闲益智,宁波东海岸电子音像出版社有限公司,厦门简创网络科技有限公司,国新出审[2021]415号,ISBN 978-7-498-08879-6,2021年3月4日
309,花花姑娘的花店,移动-休闲益智,湖北省扬子江影音有限责任公司,成都雷兽互动科技有限公司,国新出审[2021]414号,ISBN 978-7-498-08877-2,2021年3月4日
310,智力对垒,移动-休闲益智,杭州紫府网络科技有限公司,盐城昌兴科技有限公司,国新出审[2021]413号,ISBN 978-7-498-08875-8,2021年3月4日
311,城堡盟军,移动-休闲益智,杭州润趣科技有限公司,南京罗布网络科技有限公司,国新出审[2021]412号,ISBN 978-7-498-08874-1,2021年3月4日
312,坦克出征,移动-休闲益智,杭州哲信信息技术有限公司,深圳市金俊网络科技有限公司,国新出审[2021]411号,ISBN 978-7-498-08873-4,2021年3月4日
313,奇幻祖玛,移动-休闲益智,黑龙江科学技术出版社有限公司,南阳新创元软件有限公司,国新出审[2021]410号,ISBN 978-7-498-08872-7,2021年3月4日
314,定点篮球,移动-休闲益智,杭州烈焰网络技术有限公司,盐城万安台科技有限公司,国新出审[2021]409号,ISBN 978-7-498-08871-0,2021年3月4日
315,爱上象棋,移动-休闲益智,黑龙江龙华数字出版股份有限公司,北京创想乐地科技有限公司,国新出审[2021]408号,ISBN 978-7-498-08870-3,2021年3月4日
316,篮球高高手,移动-休闲益智,浙江出版集团数字传媒有限公司,北京掌上易游科技有限公司,国新出审[2021]407号,ISBN 978-7-498-08869-7,2021年3月4日
317,超级台球大师,移动-休闲益智,四川数字出版传媒有限公司,成都科锐牧数字娱乐有限公司,国新出审[2021]406号,ISBN 978-7-498-08868-0,2021年3月4日
318,公主宝宝汉堡店,移动-休闲益智,杭州乐港科技有限公司,北京古鲁营销顾问有限公司,国新出审[2021]405号,ISBN 978-7-498-08866-6,2021年3月4日
319,星星消除总动员,移动-休闲益智,广州盈正信息技术有限公司,广州小迈网络科技有限公司,国新出审[2021]404号,ISBN 978-7-498-08863-5,2021年3月4日
320,未央一梦,移动-休闲益智,上海晨路信息科技股份有限公司,上海赞步网络科技有限公司,国新出审[2021]403号,ISBN 978-7-498-08860-4,2021年3月4日
321,动物骑士团,移动-休闲益智,海南省电子音像出版社有限公司,海南创青有为网络科技有限公司,国新出审[2021]402号,ISBN 978-7-498-08858-1,2021年3月4日
322,餐厅养成记,移动-休闲益智,辽宁电子出版社有限责任公司,深圳市掌上方舟科技有限公司,国新出审[2021]401号,ISBN 978-7-498-08855-0,2021年3月4日
323,心动搭搭,移动-休闲益智,上海易娱网络科技有限公司,上海易娱网络科技有限公司,国新出审[2021]400号,ISBN 978-7-498-08853-6,2021年3月4日
324,青莲宝珠,移动-休闲益智,四川数字出版传媒有限公司,石家庄雷本湖信息科技有限公司,国新出审[2021]399号,ISBN 978-7-498-08851-2,2021年3月4日
325,冒险迷岛,移动-休闲益智,广东音像出版社有限公司,深圳传趣网络技术有限公司,国新出审[2021]398号,ISBN 978-7-498-08849-9,2021年3月4日
326,咸鱼之王,移动-休闲益智,湖南电子音像出版社有限责任公司,豪腾天佑（北京）科技有限公司,国新出审[2021]397号,ISBN 978-7-498-08847-5,2021年3月4日
327,就要玩台球,移动-休闲益智,杭州浮云网络科技有限公司,杭州浮云网络科技有限公司,国新出审[2021]396号,ISBN 978-7-498-08845-1,2021年3月4日
328,球球旅行记,移动-休闲益智,天津电子出版社有限公司,武汉市多比特信息科技有限公司,国新出审[2021]395号,ISBN 978-7-498-08844-4,2021年3月4日
329,水上滑翔车,移动-休闲益智,湖北省扬子江影音有限责任公司,北京多多游科技有限公司,国新出审[2021]394号,ISBN 978-7-498-08842-0,2021年3月4日
330,暗影赛车,移动-休闲益智,浙江出版集团数字传媒有限公司,南阳嘉翔软件有限公司,国新出审[2021]393号,ISBN 978-7-498-08840-6,2021年3月4日
331,忍影突袭,移动-休闲益智,黑龙江龙华数字出版股份有限公司,广州芭乐信息技术有限公司,国新出审[2021]392号,ISBN 978-7-498-08838-3,2021年3月4日
332,都市投资人,移动-休闲益智,上海晨路信息科技股份有限公司,上海似锦网络科技有限公司,国新出审[2021]391号,ISBN 978-7-498-08836-9,2021年3月4日
333,逃离银河系,移动-休闲益智,辽宁电子出版社有限责任公司,广州冰鸟网络科技有限公司,国新出审[2021]390号,ISBN 978-7-498-08834-5,2021年3月4日
334,绘画画图板,移动-休闲益智,天津电子出版社有限公司,武汉指娱互动信息技术有限公司,国新出审[2021]389号,ISBN 978-7-498-08829-1,2021年3月4日
335,少年宝莲灯,移动,上海同济大学电子音像出版社有限公司,上海烽昶网络科技有限公司,国新出审[2021]822号,ISBN 978-7-498-09079-9,2021年4月27日
336,本茶纲目,移动,杭州润趣科技有限公司,北京羲和山海科技有限公司,国新出审[2021]821号,ISBN 978-7-498-09078-2,2021年4月27日
337,魔卡之耀,移动,海南省电子音像出版社有限公司,海南乐之鲸鱼科技有限公司,国新出审[2021]820号,ISBN 978-7-498-09077-5,2021年4月27日
338,蚁族崛起,移动,广东海燕电子音像出版社有限公司,广州君趣网络科技有限公司,国新出审[2021]819号,ISBN 978-7-498-09076-8,2021年4月27日
339,龙与世界的尽头,移动,上海巨人网络科技有限公司,巨人移动科技有限公司,国新出审[2021]818号,ISBN 978-7-498-09075-1,2021年4月27日
340,安苏战歌,移动,黑龙江科学技术出版社有限公司,海南意游科技有限公司,国新出审[2021]817号,ISBN 978-7-498-09074-4,2021年4月27日
341,小浣熊百将传,移动,北京畅游时代数码技术有限公司,北京畅游时代数码技术有限公司,国新出审[2021]816号,ISBN 978-7-498-09073-7,2021年4月27日
342,无尽战刃,移动,黑龙江龙华数字出版股份有限公司,上海银月网络科技有限公司,国新出审[2021]815号,ISBN 978-7-498-09072-0,2021年4月27日
343,绿茵信仰,移动、客户端,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,国新出审[2021]814号,ISBN 978-7-498-09071-3,2021年4月27日
344,荣耀新三国,移动,吉林音像出版社有限责任公司,北京纵深网络科技有限公司,国新出审[2021]813号,ISBN 978-7-498-09070-6,2021年4月27日
345,恋语集织梦书,移动,华东师范大学电子音像出版社有限公司,上海碧汉网络科技有限公司,国新出审[2021]812号,ISBN 978-7-498-09069-0,2021年4月27日
346,超能世界,移动,深圳冰川网络股份有限公司,深圳屠龙网络技术有限公司,国新出审[2021]811号,ISBN 978-7-498-09068-3,2021年4月27日
347,万灵山海之境,移动,上海同济大学电子音像出版社有限公司,上海游兰网络科技有限公司,国新出审[2021]810号,ISBN 978-7-498-09067-6,2021年4月27日
348,欢乐吃货,移动,广州盈正信息技术有限公司,浙江裙黑网络科技有限公司,国新出审[2021]809号,ISBN 978-7-498-09066-9,2021年4月27日
349,流浪方舟,移动,深圳中青宝互动网络股份有限公司,深圳市一七玩信息技术有限公司,国新出审[2021]808号,ISBN 978-7-498-09064-5,2021年4月27日
350,铁骑征战,移动,宁波东海岸电子音像出版社有限公司,杭州火之网络科技有限公司,国新出审[2021]807号,ISBN 978-7-498-09063-8,2021年4月27日
351,神话奇兵,移动,浙江出版集团数字传媒有限公司,绍兴方趣网络科技有限公司,国新出审[2021]806号,ISBN 978-7-498-09061-4,2021年4月27日
352,别惹神枪手,移动,北京百度多酷科技有限公司,北京百度多酷科技有限公司,国新出审[2021]805号,ISBN 978-7-498-09060-7,2021年4月27日
353,霸天纪,移动,方圆电子音像出版社有限责任公司,云南卓游网络科技有限公司,国新出审[2021]804号,ISBN 978-7-498-09059-1,2021年4月27日
