序号,名称,申报类别,出版单位,运营单位,文号,出版物号,时间
13,电音魔方,移动—休闲益智,广州盈正信息技术有限公司,深圳市星空互娱科技有限公司,国新出审[2020]68号,ISBN 978-7-498-07212-2,2020/1/10
14,欢乐桌球,移动—休闲益智,四川数字出版传媒有限公司,成都嘉谊互娱科技有限公司,国新出审[2020]67号,ISBN 978-7-498-07211-5,2020/1/10
15,奔跑的城市,移动—休闲益智,黑龙江龙华数字出版股份有限公司,哈尔滨创游科技有限公司,国新出审[2020]66号,ISBN 978-7-498-07210-8,2020/1/10
16,流放城堡,移动,北京幻方朗睿软件科技有限公司,北京冰狮科技有限公司,国新出审[2020]65号,ISBN 978-7-498-07207-8,2020/1/10
17,映月城与电子姬,移动,华东师范大学电子音像出版社有限公司,上海幻刃网络科技有限公司,国新出审[2020]64号,ISBN 978-7-498-07206-1,2020/1/10
18,洪荒异兽录,移动,三七互娱（上海）科技有限公司,上海硬通网络科技有限公司,国新出审[2020]63号,ISBN 978-7-498-07204-7,2020/1/10
19,星兰学园 向世界进发,移动,天津电子出版社有限公司,北京炫果壳信息技术股份有限公司,国新出审[2020]62号,ISBN 978-7-498-07201-6,2020/1/10
20,跳跳大咖,移动,成都盈众九州网络科技有限公司,重庆环游者网络科技有限公司,国新出审[2020]61号,ISBN 978-7-498-07203-0,2020/1/10
21,空之旅人,移动,上海电子出版有限公司,上海富控互动网络科技有限公司,国新出审[2020]60号,ISBN 978-7-498-07250-4,2020/1/10
22,仙侠传说,移动,广州四三九九信息科技有限公司,广州四三九九信息科技有限公司,国新出审[2020]59号,ISBN 978-7-498-07248-1,2020/1/10
23,魔渊之刃,移动,上海方寸信息科技有限公司,上海方寸互娱网络科技有限公司,国新出审[2020]58号,ISBN 978-7-498-07247-4,2020/1/10
24,火星漫游,游戏机-PS4,上海东方明珠文化发展有限公司,上海东方明珠文化发展有限公司,国新出审[2020]57号,ISBN 978-7-498-07246-7,2020/1/10
25,如果一生只有三十岁,移动,上海巨人网络科技有限公司,巨人移动科技有限公司,国新出审[2020]56号,ISBN 978-7-498-07244-3,2020/1/10
26,阿卡迪亚,移动,上海触控科技发展有限公司,上海触控科技发展有限公司,国新出审[2020]55号,ISBN 978-7-498-07243-6,2020/1/10
27,绝地苍穹,移动,上海同济大学电子音像出版社有限公司,上海聚市网络科技有限公司,国新出审[2020]54号,ISBN 978-7-498-07242-9,2020/1/10
28,圣光骑士,移动,杭州边锋网络技术有限公司,杭州边锋网络技术有限公司,国新出审[2020]53号,ISBN 978-7-498-07241-2,2020/1/10
29,石器争霸,客户端,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,国新出审[2020]52号,ISBN 978-7-498-07240-5,2020/1/10
30,空岛大作战,移动,华东师范大学电子音像出版社有限公司,上海塔人网络科技股份有限公司,国新出审[2020]51号,ISBN 978-7-498-07239-9,2020/1/10
31,永恒卷轴,移动,上海同济大学电子音像出版社有限公司,上海伶狐网络科技有限公司,国新出审[2020]50号,ISBN 978-7-498-07238-2,2020/1/10
32,汪星宝贝,移动,广州谷得网络科技有限公司,珠海蜂巢网络科技有限公司,国新出审[2020]49号,ISBN 978-7-498-07237-5,2020/1/10
33,此生无白,移动,苏州好玩友网络科技有限公司,苏州沁游网络科技有限公司,国新出审[2020]48号,ISBN 978-7-498-07236-8,2020/1/10
34,魂域战魔王,移动,方圆电子音像出版社有限责任公司,沈阳腾海科技有限公司,国新出审[2020]47号,ISBN 978-7-498-07235-1,2020/1/10
35,天姬变,移动,上海绿岸网络科技股份有限公司,上海麦卓网络科技有限公司,国新出审[2020]46号,ISBN 978-7-498-07234-4,2020/1/10
36,头号街区,移动,广州多益网络股份有限公司,广东利为网络科技有限公司,国新出审[2020]45号,ISBN 978-7-498-07233-7,2020/1/10
37,快游荣耀少年,移动,湖北省扬子江影音有限责任公司,武汉快游互动信息技术有限公司,国新出审[2020]43号,ISBN 978-7-498-07229-0,2020/1/10
38,山海志异,移动,成都盈众九州网络科技有限公司,广州天息软件科技有限公司,国新出审[2020]42号,ISBN 978-7-498-07249-8,2020/1/10
39,绯石之心,移动,天津电子出版社有限公司,上海演化动漫科技有限公司,国新出审[2020]41号,ISBN 978-7-498-07226-9,2020/1/10
40,动物餐厅,移动,山东科学技术出版社有限公司,成都卓杭网络科技股份有限公司,国新出审[2020]40号,ISBN 978-7-498-07224-5,2020/1/10
41,剑镇三界,移动,上海乐蜀网络科技股份有限公司,上海敢客网络科技有限公司,国新出审[2020]39号,ISBN 978-7-498-07222-1,2020/1/10
42,青丘奇缘,移动,华东师范大学电子音像出版社有限公司,上海巨枫娱乐有限公司,国新出审[2020]38号,ISBN 978-7-498-07220-7,2020/1/10
43,黑暗之潮,移动,北京掌趣科技股份有限公司,北京天马时空网络技术有限公司,国新出审[2020]37号,ISBN 978-7-498-07218-4,2020/1/10
44,蜀汉名将,移动,杭州趣玩数码科技有限公司,武汉狙击手网络科技有限公司,国新出审[2020]36号,ISBN 978-7-498-07215-3,2020/1/10
45,暖暖村物语,客户端,江苏凤凰电子音像出版社有限公司,江苏凤凰数字传媒有限公司,国新出审[2020]35号,ISBN 978-7-498-07213-9,2020/1/10
46,彩虹联萌,移动,天津电子出版社有限公司,天津游吉科技有限公司,国新出审[2020]34号,ISBN 978-7-498-07209-2,2020/1/10
47,摩尔庄园,移动,上海淘米网络科技有限公司,上海淘米网络科技有限公司,国新出审[2020]33号,ISBN 978-7-498-07208-5,2020/1/10
48,战歌竞技场,移动,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2020]30号,ISBN 978-7-498-07202-3,2020/1/10
49,中餐厅,移动,成都盈众九州网络科技有限公司,湖南草花互动网络科技有限公司,国新出审[2020]29号,ISBN 978-7-498-07200-9,2020/1/10
50,密室逃脱绝境系列9无人医院,移动—休闲益智,炫彩互动网络科技有限公司,深圳市火星人互动娱乐有限公司,国新出审[2020]211号,ISBN 978-7-498-07299-3,2020/1/22
51,快乐商店街,移动—休闲益智,四川数字出版传媒有限公司,石家庄雷本湖信息科技有限公司,国新出审[2020]210号,ISBN 978-7-498-07298-6,2020/1/22
52,可爱企鹅大消除,移动—休闲益智,深圳市中手游网络科技有限公司,深圳市豆悦网络科技有限公司,国新出审[2020]209号,ISBN 978-7-498-07297-9,2020/1/22
53,王牌切水果,移动—休闲益智,宁波东海岸电子音像出版社有限公司,深圳市来玩科技有限公司,国新出审[2020]208号,ISBN 978-7-498-07296-2,2020/1/22
54,数字填色：秘密花园绘图游戏,移动—休闲益智,大唐网络有限公司,北京猎豹网络科技有限公司,国新出审[2020]207号,ISBN 978-7-498-07295-5,2020/1/22
55,家园卫士,移动—休闲益智,浙江出版集团数字传媒有限公司,杭州西米科技有限公司,国新出审[2020]206号,ISBN 978-7-498-07294-8,2020/1/22
56,物理反应堆,移动—休闲益智,广东太平洋电子出版社,深圳市手心游戏科技有限公司,国新出审[2020]205号,ISBN 978-7-498-07293-1,2020/1/22
57,深渊幻影,移动—休闲益智,湖北省扬子江影音有限责任公司,武汉择天文化传媒有限公司,国新出审[2020]204号,ISBN 978-7-498-07292-4,2020/1/22
58,声态星球,移动—休闲益智,杭州哲信信息技术有限公司,武汉卓讯互动信息科技有限公司,国新出审[2020]203号,ISBN 978-7-498-07291-7,2020/1/22
59,神勇小飞机,移动—休闲益智,杭州润趣科技有限公司,杭州掌动科技股份有限公司,国新出审[2020]202号,ISBN 978-7-498-07290-0,2020/1/22
60,保卫向日葵,移动—休闲益智,杭州紫府网络科技有限公司,北京赛诺斯科技发展有限责任公司,国新出审[2020]201号,ISBN 978-7-498-07289-4,2020/1/22
61,枪手本色,移动—休闲益智,宁波东海岸电子音像出版社有限公司,深圳市禅游科技股份有限公司,国新出审[2020]200号,ISBN 978-7-498-07288-7,2020/1/22
62,篮球得分王,移动—休闲益智,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,国新出审[2020]199号,ISBN 978-7-498-07287-0,2020/1/22
63,饿狼来了,移动—休闲益智,江苏凤凰电子音像出版社有限公司,无锡市诺优诺科技有限公司,国新出审[2020]198号,ISBN 978-7-498-07286-3,2020/1/22
64,愤怒的球球,移动—休闲益智,小沃科技有限公司,小沃科技有限公司,国新出审[2020]197号,ISBN 978-7-498-07285-6,2020/1/22
65,天天躲猫猫,移动—休闲益智,上海空中宏电网络技术有限公司,深圳八班网络科技有限公司,国新出审[2020]196号,ISBN 978-7-498-07284-9,2020/1/22
66,肥皂爱消除,移动—休闲益智,杭州群游科技有限公司,杭州圈外网络科技有限公司,国新出审[2020]195号,ISBN 978-7-498-07283-2,2020/1/22
67,飞行觅食,移动—休闲益智,深圳市中手游网络科技有限公司,深圳市中手游网络科技有限公司,国新出审[2020]194号,ISBN 978-7-498-07282-5,2020/1/22
68,掌心弈地,移动—休闲益智,华东师范大学电子音像出版社有限公司,微禹软件科技（上海）有限公司,国新出审[2020]193号,ISBN 978-7-498-07281-8,2020/1/22
69,七彩接龙,移动—休闲益智,炫彩互动网络科技有限公司,北京赛诺斯科技发展有限责任公司,国新出审[2020]192号,ISBN 978-7-498-07280-1,2020/1/22
70,十字绣涂色游戏,移动—休闲益智,天津电子出版社有限公司,武汉指娱互动信息技术有限公司,国新出审[2020]191号,ISBN 978-7-498-07279-5,2020/1/22
71,拇指点点消,移动—休闲益智,华东师范大学电子音像出版社有限公司,北京慕远科技有限公司,国新出审[2020]190号,ISBN 978-7-498-07278-8,2020/1/22
72,王国传奇,移动,湖北省扬子江影音有限责任公司,上海友型网络科技有限公司,国新出审[2020]189号,ISBN 978-7-498-07277-1,2020/1/22
73,垂钓宗师,移动,上海同济大学电子音像出版社有限公司,上海岚忻智能科技有限公司,国新出审[2020]188号,ISBN 978-7-498-07276-4,2020/1/22
74,光与夜之恋,移动,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2020]187号,ISBN 978-7-498-07275-7,2020/1/22
75,开天圣域,移动,华东理工大学电子音像出版社,上海伶狐网络科技有限公司,国新出审[2020]186号,ISBN 978-7-498-07274-0,2020/1/22
76,乐乐堂之大作战,客户端,北京伯通电子出版社,银河商脉（北京）科技发展有限公司,国新出审[2020]185号,ISBN 978-7-498-07273-3,2020/1/22
77,幻世录,移动,成都盈众九州网络科技有限公司,广东星辉天拓互动娱乐有限公司,国新出审[2020]184号,ISBN 978-7-498-07272-6,2020/1/22
78,超能护卫队,移动,华东师范大学电子音像出版社有限公司,上海游旺网络科技有限公司,国新出审[2020]183号,ISBN 978-7-498-07271-9,2020/1/22
79,新3D坦克,移动,上海科学技术文献出版社有限公司,上海腾唐数码科技有限公司,国新出审[2020]182号,ISBN 978-7-498-07270-2,2020/1/22
80,猎码计划,移动,辽宁电子出版社有限责任公司,北京猎码网络科技有限公司,国新出审[2020]181号,ISBN 978-7-498-07269-6,2020/1/22
81,猎手之王,移动,杭州汉唐文化传播有限公司,杭州网易雷火科技有限公司,国新出审[2020]180号,ISBN 978-7-498-07268-9,2020/1/22
82,离玥传,移动,上海科学技术文献出版社有限公司,上海游民网络科技有限公司,国新出审[2020]178号,ISBN 978-7-498-07266-5,2020/1/22
83,少年封印师,移动,成都盈众九州网络科技有限公司,海南火兔网络科技有限公司,国新出审[2020]177号,ISBN 978-7-498-07265-8,2020/1/22
84,魔灵时代,移动,海南省电子音像出版社有限公司,海南方趣网络科技有限公司,国新出审[2020]176号,ISBN 978-7-498-07264-1,2020/1/22
85,绿茵奇迹,移动,上海科学技术文献出版社有限公司,深圳市心游互动科技有限公司,国新出审[2020]175号,ISBN 978-7-498-07263-4,2020/1/22
86,光之圣境放置次元,移动,天津电子出版社有限公司,福州市热游网络科技有限公司,国新出审[2020]174号,ISBN 978-7-498-07262-7,2020/1/22
87,苍之女武神,移动,成都西山居世游科技有限公司,成都西山居世游科技有限公司,国新出审[2020]173号,ISBN 978-7-498-07261-0,2020/1/22
88,猫宅97,移动,河北冠林数字出版有限公司,上海盛月网络科技有限公司,国新出审[2020]172号,ISBN 978-7-498-07260-3,2020/1/22
89,疯狂驯龙师,移动,北京伯通电子出版社,北京超火影游科技有限公司,国新出审[2020]171号,ISBN 978-7-498-07259-7,2020/1/22
90,九州凡仙录,移动,杭州润趣科技有限公司,广州冰火互娱科技有限公司,国新出审[2020]170号,ISBN 978-7-498-07258-0,2020/1/22
91,元能失控,客户端,杭州电魂网络科技股份有限公司,杭州电魂网络科技股份有限公司,国新出审[2020]169号,ISBN 978-7-498-07257-3,2020/1/22
92,蓝苹果,移动,北京畅元国讯科技有限公司,挚爱互动（北京）网络科技有限公司,国新出审[2020]168号,ISBN 978-7-498-07256-6,2020/1/22
93,阿卡夏之眼,移动,广州多益网络股份有限公司,成都利为网络科技有限公司,国新出审[2020]167号,ISBN 978-7-498-07255-9,2020/1/22
94,苍月传说,移动,北京伯通电子出版社,北京指上缤纷科技股份有限公司,国新出审[2020]166号,ISBN 978-7-498-07254-2,2020/1/22
95,星耀对决,移动,四三九九网络股份有限公司,四三九九网络股份有限公司,国新出审[2020]165号,ISBN 978-7-498-07253-5,2020/1/22
96,暖暖农场,移动,东方星空数字娱乐有限公司,上海锋兮网络科技有限公司,国新出审[2020]164号,ISBN 978-7-498-07252-8,2020/1/22
97,巨龙之息,移动,北京目标在线科技有限公司,成都恋游科技有限公司,国新出审[2019]32号,ISBN 978-7-498-07205-4,2020/1/10
98,无限冲击,移动-休闲益智,黑龙江龙华数字出版股份有限公司,北京九州昊游科技有限公司,国新出审[2020]431号,ISBN 978-7-498-07402-7,2020/2/25
99,天天飞龙,移动-休闲益智,海南省电子音像出版社有限公司,海南瑞宏网络科技有限公司,国新出审[2020]430号,ISBN 978-7-498-07401-0,2020/2/25
100,林中酷跑,移动-休闲益智,深圳市创梦天地科技有限公司,深圳市创梦天地科技有限公司,国新出审[2020]429号,ISBN 978-7-498-07400-3,2020/2/25
101,孤独战机,移动-休闲益智,成都盈众九州网络科技有限公司,武汉萌豆互娱科技有限公司,国新出审[2020]428号,ISBN 978-7-498-07399-0,2020/2/25
102,王者小射手,移动-休闲益智,上海双盟网络科技有限公司,上海掌易网络科技有限公司,国新出审[2020]427号,ISBN 978-7-498-07398-3,2020/2/25
103,悟空历险记,移动-休闲益智,杭州乐港科技有限公司,芜湖乐哈哈网络科技有限公司,国新出审[2020]426号,ISBN 978-7-498-07397-6,2020/2/25
104,暴风铠甲出击,移动-休闲益智,辽宁电子出版社有限责任公司,深圳市掌上方舟科技有限公司,国新出审[2020]425号,ISBN 978-7-498-07396-9,2020/2/25
105,全民大灌篮,移动-休闲益智,北京中电电子出版社,成都有明堂互动科技有限公司,国新出审[2020]424号,ISBN 978-7-498-07395-2,2020/2/25
106,唤雨巫师：美丽的潮涌,移动-休闲益智,浙江出版集团数字传媒有限公司,杭州西米科技有限公司,国新出审[2020]423号,ISBN 978-7-498-07376-1,2020/2/25
107,极品飞车漂移,移动-休闲益智,广东太平洋电子出版社,深圳市手心游戏科技有限公司,国新出审[2020]422号,ISBN 978-7-498-07372-3,2020/2/25
108,涂色大乱斗,移动-休闲益智,杭州边锋网络技术有限公司,上海锋兮网络科技有限公司,国新出审[2020]421号,ISBN 978-7-498-07371-6,2020/2/25
109,停车达人,移动-休闲益智,宁波东海岸电子音像出版社,深圳市来玩科技有限公司,国新出审[2020]420号,ISBN 978-7-498-07368-6,2020/2/25
110,漂移大亨,移动-休闲益智,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,国新出审[2020]419号,ISBN 978-7-498-07363-1,2020/2/25
111,欢乐跳车,移动-休闲益智,深圳市中手游网络科技有限公司,深圳市中手游网络科技有限公司,国新出审[2020]418号,ISBN 978-7-498-07361-7,2020/2/25
112,我的小火车,移动-休闲益智,小沃科技有限公司,小沃科技有限公司,国新出审[2020]417号,ISBN 978-7-498-07358-7,2020/2/25
113,星际炮塔,移动-休闲益智,杭州群游科技有限公司,杭州圈外网络科技有限公司,国新出审[2020]416号,ISBN 978-7-498-07354-9,2020/2/25
114,宝石合成,移动-休闲益智,炫彩互动网络科技有限公司,深圳市猎游科技有限公司,国新出审[2020]415号,ISBN 978-7-498-07394-5,2020/2/25
115,跳跳熊,移动-休闲益智,天津电子出版社有限公司,北京青柠互娱科技有限公司,国新出审[2020]414号,ISBN 978-7-498-07393-8,2020/2/25
116,天谕,移动,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,国新出审[2020]413号,ISBN 978-7-498-07392-1,2020/2/25
117,超燃之战,移动-休闲益智,上海波克城市网络科技股份有限公司,赛韵网络科技（上海）有限公司,国新出审[2020]412号,ISBN 978-7-498-07391-4,2020/2/25
118,甜蜜时空,移动-休闲益智,杭州乐港科技有限公司,北京摩丰科技有限公司,国新出审[2020]411号,ISBN 978-7-498-07390-7,2020/2/25
119,猫灵相册,移动,上海东方明珠文化发展有限公司,上海东方明珠文化发展有限公司,国新出审[2020]410号,ISBN 978-7-498-07389-1,2020/2/25
120,少女防御战,移动,华东理工大学电子音像出版社,上海次元猫网络科技有限公司,国新出审[2020]409号,ISBN 978-7-498-07405-8,2020/2/25
121,陌上云雁行,移动,广州多益网络股份有限公司,广东利为网络科技有限公司,国新出审[2020]408号,ISBN 978-7-498-07387-7,2020/2/25
122,风来之国,客户端,天津电子出版社有限公司,心动网络股份有限公司,国新出审[2020]407号,ISBN 978-7-498-07385-3,2020/2/25
123,天启之光,移动,广东趣炫网络股份有限公司,广东趣炫网络股份有限公司,国新出审[2020]406号,ISBN 978-7-498-07383-9,2020/2/25
124,无尽梦境,移动,上海科学技术文献出版社有限公司,上海硬通网络科技有限公司,国新出审[2020]405号,ISBN 978-7-498-07404-1,2020/2/25
125,晶石战争（PC端）,客户端,华中科技大学电子音像出版社,上海臻游网络科技有限公司,国新出审[2020]404号,ISBN 978-7-498-07379-2,2020/2/25
126,寄居隅怪奇事件簿,移动,方圆电子音像出版社有限责任公司,上海幻电信息科技有限公司,国新出审[2020]403号,ISBN 978-7-498-07377-8,2020/2/25
127,璀璨女王,移动,安徽新华电子音像出版社,广州火羽信息科技有限公司,国新出审[2020]402号,ISBN 978-7-498-07373-0,2020/2/25
128,魔幻宝石大作战,移动-休闲益智,炫彩互动网络科技有限公司,北京赛诺斯科技发展有限责任公司,国新出审[2020]401号,ISBN 978-7-498-07369-3,2020/2/25
129,青橙五子棋,移动-休闲益智,湖北省扬子江影音有限责任公司,武汉青橙互娱网络科技有限公司,国新出审[2020]400号,ISBN 978-7-498-07366-2,2020/2/25
130,樱都学园,移动,北京光宇在线科技有限责任公司,北京光宇在线科技有限责任公司,国新出审[2020]399号,ISBN 978-7-498-07364-8,2020/2/25
131,捣蛋大作战,客户端,深圳中青宝互动网络股份有限公司,北京可梦科技有限公司,国新出审[2020]398号,ISBN 978-7-498-07360-0,2020/2/25
132,最强弹一弹,移动-休闲益智,上海晨路信息科技股份有限公司,上海似锦网络科技有限公司,国新出审[2020]397号,ISBN 978-7-498-07356-3,2020/2/25
133,聊斋搜神记,移动,天津电子出版社有限公司,成都易游时空网络科技有限公司,国新出审[2020]396号,ISBN 978-7-498-07388-4,2020/2/25
134,少年三国志：零,移动,上海游族信息技术有限公司,上海游族信息技术有限公司,国新出审[2020]395号,ISBN 978-7-498-07386-0,2020/2/25
135,秦时明月世界,移动,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,国新出审[2020]394号,ISBN 978-7-498-07403-4,2020/2/25
136,巴啦啦魔法海萤堡,移动-休闲益智,湖北省扬子江影音有限责任公司,成都雷兽互动科技有限公司,国新出审[2020]393号,ISBN 978-7-498-07384-6,2020/2/25
137,新星商业计划,移动,四三九九网络股份有限公司,四三九九网络股份有限公司,国新出审[2020]392号,ISBN 978-7-498-07382-2,2020/2/25
138,萌萌塔,移动,华中科技大学电子音像出版社,深圳市拇指游玩科技有限公司,国新出审[2020]391号,ISBN 978-7-498-07381-5,2020/2/25
139,富甲风云,移动,上海同济大学电子音像出版社有限公司,上海悦游网络信息科技股份有限公司,国新出审[2020]390号,ISBN 978-7-498-07380-8,2020/2/25
140,象棋对战,移动-休闲益智,杭州边锋网络技术有限公司,杭州边浙网络技术有限公司,国新出审[2020]389号,ISBN 978-7-498-07378-5,2020/2/25
141,山海经异兽录,移动,上海绿岸网络科技股份有限公司,上海绿岸网络科技股份有限公司,国新出审[2020]388号,ISBN 978-7-498-07375-4,2020/2/25
142,英雄棋士团,移动,大唐网络有限公司,北京鹏翎科技有限公司,国新出审[2020]387号,ISBN 978-7-498-07374-7,2020/2/25
143,遇见楚留香,移动,上海科学技术文献出版社有限公司,上海拟酷网络科技有限公司,国新出审[2020]386号,ISBN 978-7-498-07370-9,2020/2/25
144,硬核机甲,游戏机-PS4,金报电子音像出版中心,人民网股份有限公司,国新出审[2020]385号,ISBN 978-7-498-07367-9,2020/2/25
145,远古竞技场,移动,江苏凤凰电子音像出版社有限公司,苏州大禹网络科技有限公司,国新出审[2020]384号,ISBN 978-7-498-07365-5,2020/2/25
146,千秋辞,移动,成都哆可梦网络科技有限公司,成都卓杭网络科技股份有限公司,国新出审[2020]383号,ISBN 978-7-498-07362-4,2020/2/25
147,家园拼拼乐,移动-休闲益智,华中科技大学电子音像出版社,成都橙风趣游科技有限公司,国新出审[2020]382号,ISBN 978-7-498-07359-4,2020/2/25
148,荣耀舰队,移动,华东师范大学电子音像出版社有限公司,上海狼火网络科技有限公司,国新出审[2020]381号,ISBN 978-7-498-07357-0,2020/2/25
149,星河幻想,移动-休闲益智,湖北省扬子江影音有限责任公司,武汉快游互动信息技术有限公司,国新出审[2020]380号,ISBN 978-7-498-07355-6,2020/2/25
150,造物梦工厂,移动,北京幻方朗睿软件科技有限公司,北京冰狮科技有限公司,国新出审[2020]379号,ISBN 978-7-498-07353-2,2020/2/25
151,爆射奇兵,移动—休闲益智,湖南电子音像出版社有限责任公司,长沙掌王网络科技有限公司,国新出审[2020]275号,ISBN 978-7-498-07352-5,2020/2/10
152,超爽泡泡龙,移动—休闲益智,炫彩互动网络科技有限公司,北京摩丰科技有限公司,国新出审[2020]274号,ISBN 978-7-498-07351-8,2020/2/10
153,飞奔吧恐龙,移动—休闲益智,辽宁电子出版社有限责任公司,广州吉雅软件科技有限公司,国新出审[2020]272号,ISBN 978-7-498-07349-5,2020/2/10
154,小猪过马路,移动—休闲益智,方圆电子音像出版社有限责任公司,河北索拓网络科技有限公司,国新出审[2020]271号,ISBN 978-7-498-07348-8,2020/2/10
155,冲刺吧球球,移动—休闲益智,深圳市中手游网络科技有限公司,深圳市静思科技有限公司,国新出审[2020]270号,ISBN 978-7-498-07347-1,2020/2/10
156,数图,移动—休闲益智,天津电子出版社有限公司,武汉指娱互动信息技术有限公司,国新出审[2020]269号,ISBN 978-7-498-07346-4,2020/2/10
157,疯狂中餐厅,移动—休闲益智,上海晨路信息科技股份有限公司,家乡互动（厦门）网络科技有限公司,国新出审[2020]268号,ISBN 978-7-498-07345-7,2020/2/10
158,幸存之地,移动—休闲益智,湖北省扬子江影音有限责任公司,武汉玩伴网络科技有限公司,国新出审[2020]267号,ISBN 978-7-498-07344-0,2020/2/10
159,立体围棋,移动—休闲益智,海南省电子音像出版社有限公司,海南今棋电子商务有限公司,国新出审[2020]266号,ISBN 978-7-498-07343-3,2020/2/10
160,经典飞机大战,移动—休闲益智,杭州润趣科技有限公司,深圳传奇无限网络有限公司,国新出审[2020]265号,ISBN 978-7-498-07342-6,2020/2/10
161,搭一搭,移动—休闲益智,广东太平洋电子出版社,深圳市手心游戏科技有限公司,国新出审[2020]264号,ISBN 978-7-498-07341-9,2020/2/10
162,飞羽青春,移动—休闲益智,广州多益网络股份有限公司,多益网络有限公司,国新出审[2020]263号,ISBN 978-7-498-07340-2,2020/2/10
163,梦幻魔女消消乐,移动—休闲益智,炫彩互动网络科技有限公司,深圳市掌上方舟科技有限公司,国新出审[2020]262号,ISBN 978-7-498-07339-6,2020/2/10
164,忍者快跑,移动—休闲益智,杭州哲信信息技术有限公司,杭州哲信信息技术有限公司,国新出审[2020]261号,ISBN 978-7-498-07338-9,2020/2/10
165,缤纷爱消除,移动—休闲益智,杭州乐港科技有限公司,宿州手游互联信息技术有限公司,国新出审[2020]260号,ISBN 978-7-498-07337-2,2020/2/10
166,游苑斗兽棋,移动—休闲益智,上海乐蜀网络科技股份有限公司,上海乐蜀网络科技股份有限公司,国新出审[2020]259号,ISBN 978-7-498-07336-5,2020/2/10
167,怪物之家,移动—休闲益智,上海科学技术文献出版社有限公司,上海莉莉丝网络科技有限公司,国新出审[2020]258号,ISBN 978-7-498-07335-8,2020/2/10
168,这是什么垃圾,移动—休闲益智,三七互娱（上海）科技有限公司,上海硬通网络科技有限公司,国新出审[2020]257号,ISBN 978-7-498-07334-1,2020/2/10
169,贪吃国王,移动—休闲益智,江苏凤凰电子音像出版社有限公司,南京网眼软件有限公司,国新出审[2020]256号,ISBN 978-7-498-07333-4,2020/2/10
170,旋转飞刀,移动—休闲益智,深圳市中手游网络科技有限公司,深圳市中手游网络科技有限公司,国新出审[2020]255号,ISBN 978-7-498-07332-7,2020/2/10
171,我的游乐场,移动—休闲益智,杭州边锋网络技术有限公司,上海锋兮网络科技有限公司,国新出审[2020]254号,ISBN 978-7-498-07331-0,2020/2/10
172,王牌猜词,移动—休闲益智,宁波东海岸电子音像出版社,深圳市来玩科技有限公司,国新出审[2020]253号,ISBN 978-7-498-07330-3,2020/2/10
173,海滨消星星,移动—休闲益智,杭州群游科技有限公司,杭州圈外网络科技有限公司,国新出审[2020]252号,ISBN 978-7-498-07329-7,2020/2/10
