序号,名称,申报类别,出版单位,运营单位,文号,出版物号,时间
1,我的迷你贪吃猫,移动—休闲益智,炫彩互动网络科技有限公司,深圳市火舌互联科技有限公司,国新出审[2020]80号,ISBN 978-7-498-07232-0,2020/1/10
2,超级飞侠乐迪加速,移动—休闲益智,小沃科技有限公司,小沃科技有限公司,国新出审[2020]79号,ISBN 978-7-498-07231-3,2020/1/10
3,情侣大冲突,移动—休闲益智,黑龙江科学技术出版社有限公司,合肥指上游软件科技有限公司,国新出审[2020]78号,ISBN 978-7-498-07230-6,2020/1/10
4,极速青春终极狂飙,移动—休闲益智,炫彩互动网络科技有限公司,北京元火科技有限公司,国新出审[2020]77号,ISBN 978-7-498-07228-3,2020/1/10
5,天一消消乐,移动—休闲益智,黑龙江龙华数字出版股份有限公司,北京优游互动网络科技有限公司,国新出审[2020]76号,ISBN 978-7-498-07227-6,2020/1/10
6,欢乐的球球,移动—休闲益智,上海大承网络技术有限公司,深圳八班网络科技有限公司,国新出审[2020]75号,ISBN 978-7-498-07225-2,2020/1/10
7,雪山漂移,移动—休闲益智,杭州群游科技有限公司,杭州圈外网络科技有限公司,国新出审[2020]74号,ISBN 978-7-498-07223-8,2020/1/10
8,魔钻快消除,移动—休闲益智,炫彩互动网络科技有限公司,南京碧讯网络科技有限公司,国新出审[2020]73号,ISBN 978-7-498-07221-4,2020/1/10
9,放置海岛,移动—休闲益智,四川数字出版传媒有限公司,石家庄雷本湖信息科技有限公司,国新出审[2020]72号,ISBN 978-7-498-07219-1,2020/1/10
10,消消农家乐,移动—休闲益智,深圳市中手游网络科技有限公司,深圳市中手游网络科技有限公司,国新出审[2020]71号,ISBN 978-7-498-07217-7,2020/1/10
11,僵尸防线,移动—休闲益智,黑龙江科学技术出版社有限公司,深圳市开心魔方科技有限公司,国新出审[2020]70号,ISBN 978-7-498-07216-0,2020/1/10
12,贪吃蛇蛇大挑战,移动—休闲益智,深圳中青宝互动网络股份有限公司,深圳市友游科技有限公司,国新出审[2020]69号,ISBN 978-7-498-07214-6,2020/1/10
